id,model,label
22,gpt-oss-20b,supported
23,gpt-oss-20b,partially_supported
24,gpt-oss-20b,partially_supported
25,gpt-oss-20b,partially_supported
26,gpt-oss-20b,supported
27,gpt-oss-20b,supported
28,gpt-oss-20b,supported
29,gpt-oss-20b,supported
30,gpt-oss-20b,partially_supported
31,gpt-oss-20b,supported
32,gpt-oss-20b,supported
34,gpt-oss-20b,partially_supported
35,gpt-oss-20b,supported
37,gpt-oss-20b,partially_supported
39,gpt-oss-20b,partially_supported
40,gpt-oss-20b,hallucinated
41,gpt-oss-20b,partially_supported
42,gpt-oss-20b,hallucinated
43,gpt-oss-20b,supported
44,gpt-oss-20b,supported
46,gpt-oss-20b,partially_supported
47,gpt-oss-20b,supported
48,gpt-oss-20b,partially_supported
49,gpt-oss-20b,supported
50,gpt-oss-20b,partially_supported
52,gpt-oss-20b,supported
53,gpt-oss-20b,supported
54,gpt-oss-20b,supported
55,gpt-oss-20b,supported
56,gpt-oss-20b,partially_supported
57,gpt-oss-20b,supported
58,gpt-oss-20b,supported
59,gpt-oss-20b,partially_supported
61,gpt-oss-20b,supported
62,gpt-oss-20b,partially_supported
63,gpt-oss-20b,partially_supported
64,gpt-oss-20b,supported
67,gpt-oss-20b,partially_supported
68,gpt-oss-20b,partially_supported
69,gpt-oss-20b,supported
70,gpt-oss-20b,supported
71,gpt-oss-20b,contradictory
72,gpt-oss-20b,supported
73,gpt-oss-20b,partially_supported
74,gpt-oss-20b,supported
75,gpt-oss-20b,partially_supported
76,gpt-oss-20b,partially_supported
77,gpt-oss-20b,partially_supported
78,gpt-oss-20b,supported
79,gpt-oss-20b,supported
80,gpt-oss-20b,partially_supported
82,gpt-oss-20b,partially_supported
83,gpt-oss-20b,partially_supported
84,gpt-oss-20b,supported
85,gpt-oss-20b,supported
86,gpt-oss-20b,partially_supported
87,gpt-oss-20b,supported
88,gpt-oss-20b,partially_supported
89,gpt-oss-20b,partially_supported
90,gpt-oss-20b,partially_supported
91,gpt-oss-20b,partially_supported
92,gpt-oss-20b,supported
93,gpt-oss-20b,supported
94,gpt-oss-20b,supported
95,gpt-oss-20b,partially_supported
96,gpt-oss-20b,supported
97,gpt-oss-20b,partially_supported
99,gpt-oss-20b,partially_supported
100,gpt-oss-20b,supported
101,gpt-oss-20b,supported
102,gpt-oss-20b,partially_supported
103,gpt-oss-20b,supported
104,gpt-oss-20b,partially_supported
106,gpt-oss-20b,supported
107,gpt-oss-20b,partially_supported
108,gpt-oss-20b,supported
109,gpt-oss-20b,partially_supported
111,gpt-oss-20b,partially_supported
112,gpt-oss-20b,supported
113,gpt-oss-20b,partially_supported
114,gpt-oss-20b,partially_supported
116,gpt-oss-20b,partially_supported
117,gpt-oss-20b,partially_supported
118,gpt-oss-20b,supported
119,gpt-oss-20b,supported
120,gpt-oss-20b,partially_supported
121,gpt-oss-20b,supported
122,gpt-oss-20b,supported
124,gpt-oss-20b,supported
126,gpt-oss-20b,supported
127,gpt-oss-20b,partially_supported
128,gpt-oss-20b,supported
129,gpt-oss-20b,supported
130,gpt-oss-20b,partially_supported
132,gpt-oss-20b,partially_supported
133,gpt-oss-20b,partially_supported
134,gpt-oss-20b,supported
135,gpt-oss-20b,partially_supported
136,gpt-oss-20b,supported
137,gpt-oss-20b,supported
138,gpt-oss-20b,supported
139,gpt-oss-20b,partially_supported
140,gpt-oss-20b,supported
141,gpt-oss-20b,partially_supported
142,gpt-oss-20b,supported
143,gpt-oss-20b,supported
144,gpt-oss-20b,hallucinated
145,gpt-oss-20b,supported
146,gpt-oss-20b,supported
147,gpt-oss-20b,supported
148,gpt-oss-20b,partially_supported
149,gpt-oss-20b,hallucinated
